unix,low,high,open,close,volume,date,vol_fiat
1694649600,26128.25,26869.06,26227.16,26532.76,12929.08237721,2023-09-14,343044239.73474234
1694563200,25763.43,26413.59,25839.95,26226.65,10099.7383701,2023-09-13,264882303.32418317
1694476800,25120.76,26556.91,25152.13,25840.61,19789.48058328,2023-09-12,511372249.85511106
1694390400,24900.0,25891.6,25831.77,25152.14,13404.10979142,2023-09-11,337142046.0491666
1694304000,25578.01,26023.89,25897.82,25831.76,4361.60285333,2023-09-10,112667878.12253574
1694217600,25791.45,25942.69,25906.33,25897.82,2225.82211069,2023-09-09,57643940.37466969
1694131200,25640.1,26460.41,26276.38,25906.34,11149.95850667,2023-09-08,288854616.0596853
1694044800,25595.8,26440.55,25747.63,26276.3,10885.13902329,2023-09-07,286021178.517675
1693958400,25358.0,26025.78,25782.49,25747.63,9374.33792185,2023-09-06,241366984.30676273
1693872000,25551.36,25884.04,25816.14,25783.91,6051.14811848,2023-09-05,156022258.48355767
1693785600,25627.0,26093.07,25969.83,25816.13,4635.8154655,2023-09-04,119678814.71335852
1693699200,25792.29,26123.0,25867.82,25969.83,3434.5195669,2023-09-03,89193889.28406663
1693612800,25707.3,25982.48,25795.61,25867.83,3810.77429103,2023-09-02,98576461.52873456
1693526400,25307.37,26142.28,25931.51,25794.88,14995.72610123,2023-09-01,386812955.29409575
1693440000,25660.61,27576.99,27306.06,25932.45,14462.02738125,2023-08-31,375035801.9628966
1693353600,27015.75,27775.0,27717.15,27306.06,9793.95679478,2023-08-30,267434371.8756704
1693267200,25903.18,28184.89,26101.03,27717.98,21400.14608326,2023-08-29,593168821.132879
1693180800,25850.0,26232.88,26091.16,26101.04,5460.42038393,2023-08-28,142522650.8577723
1693094400,25961.81,26171.87,26009.62,26091.16,2069.84831133,2023-08-27,54004743.46664084
1693008000,25971.44,26115.44,26049.4,26009.61,1862.15021008,2023-08-26,48433800.72559887
1692921600,25750.0,26294.53,26163.49,26049.39,10926.33773703,2023-08-25,284624432.98361194
1692835200,25850.0,26567.38,26427.73,26163.49,10002.33992977,2023-08-24,261696120.7291381
1692748800,25796.47,26818.28,26041.94,26427.54,15743.86437208,2023-08-23,416071605.4477191
1692662400,25350.0,26137.99,26125.16,26042.11,12418.87289323,2023-08-22,323413653.96151394
1692576000,25814.0,26260.25,26189.36,26125.18,9936.51156256,2023-08-21,259593153.14396125
1692489600,25975.01,26296.78,26096.4,26189.14,4345.07228674,2023-08-20,113793706.427554
1692403200,25793.11,26269.11,26048.9,26096.42,6554.05344759,2023-08-19,171037331.47075662
1692316800,25610.0,26834.37,26627.21,26048.89,21187.5150669,2023-08-18,551911249.3510207
1692230400,25234.76,28751.84,28700.51,26627.57,27723.2108711,2023-08-17,738201738.0949762
1692144000,28690.37,29231.92,29170.13,28700.51,9669.42094524,2023-08-16,277517312.53307
1692057600,29046.58,29464.62,29405.49,29170.14,5815.32226178,2023-08-15,169633764.52123925
1691971200,29072.96,29665.27,29275.78,29405.49,7063.46806345,2023-08-14,207704739.50509834
1691884800,29247.15,29447.6,29417.19,29275.94,2128.37437697,2023-08-13,62310160.557711095
1691798400,29349.98,29477.31,29400.45,29416.96,1906.1707986,2023-08-12,56073750.13558425
1691712000,29213.59,29534.14,29424.04,29400.45,5961.21744691,2023-08-11,175262475.4870051
1691625600,29306.0,29709.38,29562.76,29424.03,7104.52622213,2023-08-10,209043792.69573978
1691539200,29344.16,30128.88,29770.01,29562.76,10451.45167511,2023-08-09,308973757.5228749
